FID,objectid,id,bp_loc_id,count_id,municipality,facility_name,street_1,street_2,street_3,street_4,street_5,street_6,description,temperature,sky,facility_type,count_type,from_st_name,from_st_dir,to_st_name,to_st_dir,count_date,count_dow,cnt_0630,cnt_0645,cnt_0700,cnt_0715,cnt_0730,cnt_0745,cnt_0800,cnt_0815,cnt_0830,cnt_0845,cnt_0900,cnt_0915,cnt_0930,cnt_0945,cnt_1000,cnt_1015,cnt_1030,cnt_1045,cnt_1100,cnt_1115,cnt_1130,cnt_1145,cnt_1200,cnt_1215,cnt_1230,cnt_1245,cnt_1300,cnt_1315,cnt_1330,cnt_1345,cnt_1400,cnt_1415,cnt_1430,cnt_1445,cnt_1500,cnt_1515,cnt_1530,cnt_1545,cnt_1600,cnt_1615,cnt_1630,cnt_1645,cnt_1700,cnt_1715,cnt_1730,cnt_1745,cnt_1800,cnt_1815,cnt_1830,cnt_1845,cnt_1900,cnt_1915,cnt_1930,cnt_1945,cnt_2000,cnt_2015,cnt_2030,cnt_2045,cnt_total
bp_counts.21570,21570,9960,20145,20442,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,43,4,Trail Segment,B,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-13T20:00:00,3,,,10,16,26,29,28,34,15,8,11,5,5,4,5,15,3,3,16,0,2,4,5,1,2,2,3,6,2,3,6,5,5,3,7,10,6,7,11,7,6,12,22,18,24,29,28,18,12,10,,,,,,,,,509
bp_counts.21571,21571,9961,20145,20442,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,43,4,Trail Segment,J,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-13T20:00:00,3,,,3,3,0,2,3,1,1,4,0,1,1,3,0,0,0,3,0,3,0,2,6,3,1,3,1,1,0,0,1,0,2,12,1,0,10,3,0,1,4,4,3,5,5,6,8,6,2,6,,,,,,,,,124
bp_counts.21572,21572,9962,20145,20442,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,43,4,Trail Segment,S,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-13T20:00:00,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
bp_counts.21573,21573,9963,20145,20442,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,43,4,Trail Segment,P,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-13T20:00:00,3,,,5,8,8,4,8,10,6,6,5,5,5,3,3,4,4,3,3,5,8,3,6,6,9,5,7,11,11,5,10,12,12,4,14,9,8,14,10,9,9,10,16,19,6,8,20,9,4,6,,,,,,,,,375
bp_counts.21574,21574,9964,20145,20442,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,43,4,Trail Segment,W,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-13T20:00:00,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0
bp_counts.21575,21575,9965,20145,20442,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,43,4,Trail Segment,O,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-13T20:00:00,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0
bp_counts.21576,21576,9966,20145,20443,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,70,1,Trail Segment,C,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-17T20:00:00,7,,,0,0,4,1,3,3,0,8,4,4,7,9,4,9,7,7,4,4,4,8,8,4,3,3,4,8,11,2,2,2,1,1,0,2,2,5,2,2,3,2,3,8,0,3,1,4,1,0,,,,,,,,,177
bp_counts.21577,21577,9967,20145,20443,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,70,1,Trail Segment,B,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-17T20:00:00,7,,,17,17,24,18,18,29,30,34,32,26,38,56,39,36,72,60,74,79,82,91,75,73,83,77,75,71,96,71,77,88,76,81,67,83,72,88,69,80,63,54,63,33,41,57,60,41,30,27,,,,,,,,,2743
bp_counts.21578,21578,9968,20145,20443,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,70,1,Trail Segment,J,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-17T20:00:00,7,,,13,14,15,16,16,19,12,14,16,17,25,36,31,15,13,15,17,12,19,12,10,16,8,8,9,7,9,8,4,12,10,8,10,5,5,3,7,3,7,3,5,7,10,5,7,5,4,7,,,,,,,,,549
bp_counts.21579,21579,9969,20145,20443,Arlington,Minuteman Commuter Bikeway,Minuteman Trail,Swan Place,,,,,,70,1,Trail Segment,S,Minuteman Bikeway,ALL,Minuteman Bikeway,ALL,2019-05-17T20:00:00,7,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,2,0,0,0,2,0,2,0,6,1,2,3,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,32
